Description,Price,ModleName,Carrier,Brand,FormFactor,Memory,OperatingSystem,Color,Cellular,SimCount,Year,AdditionalComponents,SellerStore,StoreLink,ProductLink
LONG-CZ J9 World Mini Smallest Flip Mobile Phone Unlocked (Black),$30.99,J9,T-Mobile,MiRUSI,Flip,64 GB,Nucleus OS,Black,"4G, 3G, 2G",,2022.0,"Earphone, USB Cable",USI,https://www.amazon.com/MiRUSI/b/ref=bl_dp_s_web_23578867011?ie=UTF8&node=23578867011&field-lbr_brands_browse-bin=MiRUSI,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg10_1?ie=UTF8&adId=A09164771TCAZU67Q4B99&url=%2FLONG-CZ-World-Smallest-Mobile-Unlocked%2Fdp%2FB07NS7YDKS%2Fref%3Dsr_1_156_sspa%3Fkeywords%3Dused%2Bphones%26qid%3D1646080945%26sr%3D8-156-spons%26psc%3D1&qualifier=1646080945&id=587621268431940&widgetName=sp_mtf
Ushining 3G Unlocked Flip Cell Phone Large Icon Feature Phones Easy to Use Mobile Phone for Seniors and Kids AT&T Prepaid Card Suitable(Red),$38.99,,AT&T,USHINING,Flip,32 GB,,3G-Red,3G,Single SIM,2020.0,"Earphone, Adapter",INING,https://www.amazon.com/USHINING/b/ref=bl_dp_s_web_20522834011?ie=UTF8&node=20522834011&field-lbr_brands_browse-bin=USHINING,https://www.amazon.com//Ushining-Unlocked-Seniors-T-Mobile-Suitable/dp/B07YZGB621/ref=sr_1_157?keywords=used+phones&qid=1646080945&sr=8-157
Nokia 1.4 | Android 10 (Go Edition) | Unlocked Smartphone | 2-Day Battery | Dual SIM | US Version| 2/32GB | 6.51-Inch Screen | Charcoal,$119.99,1.4,Unlocked,Nokia,Bar,2 GB,Android 10.0 (Go Edition),Charcoal,4G,Dual SIM,2021.0,,Nokia Store,https://www.amazon.com/stores/Nokia/page/BBD88D40-BF44-4A32-90F8-5A0E8C5658A1?ref_=ast_bln,https://www.amazon.com//Nokia-Unlocked-Smartphone-6-51-Inch-Charcoal/dp/B08WRB2GF2/ref=sr_1_158?keywords=used+phones&qid=1646080945&sr=8-158
TracFone LG Journey 4G LTE Prepaid Smartphone (Locked) - Black - 16GB - SIM Card Included - CDMA,,Journey,Tracfone,TracFone,Smartphone,16 GB,Android,Black,LTE,,,"Phone, Charger, SIM, Manual",TracFone Store,https://www.amazon.com/stores/Tracfone/page/64B4FC0C-8D94-48E8-AF60-E606E348588D?ref_=ast_bln,https://www.amazon.com//Tracfone-Journey-Prepaid-Smartphone-Locked/dp/B07Y5T9X4P/ref=sr_1_159?keywords=used+phones&qid=1646080945&sr=8-159
"RCA Reno Smartphone, 4G LTE, 16GB, Android 10, Black - GSM Unlocked",$69.99,Reno,Unlocked for All Carriers,RCA,Smartphone,16 GB,Android 10.0,Black,4G,Dual SIM,,"Adapter, Screen Protector",RCA Store,https://www.amazon.com/stores/RCATVs/page/3E34B8D8-734C-41A9-BDE2-4E14527E2992?ref_=ast_bln,https://www.amazon.com//RCA-Android-Unlocked-Smartphone-Black/dp/B086G9NF1P/ref=sr_1_160?keywords=used+phones&qid=1646080945&sr=8-160
SAMSUNG Galaxy S8 G950U 64GB Unlocked GSM U.S. Version Phone - w/ 12MP Camera - Orchid Gray (Renewed),$178.00,Galaxy S8,Unlocked,Samsung Electronics,Smartphone,64 GB,Android,Gray,2G,Single SIM,2018.0,,Amazon Renewed Store,https://www.amazon.com/Amazon-Renewed/b/ref=bl_dp_s_web_12653393011?ie=UTF8&node=12653393011&field-lbr_brands_browse-bin=Amazon+Renewed,https://www.amazon.com//Samsung-Galaxy-S8-Unlocked-64GB/dp/B07K4F5759/ref=sr_1_161?keywords=used+phones&qid=1646080945&sr=8-161
SAMSUNG Galaxy S8 64GB Phone - 5.8in Unlocked Smartphone - Midnight Black (Renewed),$169.99,Galaxy S8,Unlocked,Samsung Electronics,Smartphone,64 GB,Android,Midnight Black,2G,,,,Amazon Renewed Store,https://www.amazon.com/Amazon-Renewed/b/ref=bl_dp_s_web_12653393011?ie=UTF8&node=12653393011&field-lbr_brands_browse-bin=Amazon+Renewed,https://www.amazon.com//Samsung-Galaxy-64GB-Phone-Smartphone/dp/B076M9RQJ2/ref=sr_1_162?keywords=used+phones&qid=1646080945&sr=8-162
"Apple iPhone XS Max, US Version, 64GB, Space Gray - Unlocked (Renewed)",$343.98,IPhone XS Max,Unlocked for All Carriers,Apple,Smartphone,64 GB,IOS,Space Gray,4G,Single SIM,2018.0,,Amazon Renewed Store,https://www.amazon.com/Amazon-Renewed/b/ref=bl_dp_s_web_12653393011?ie=UTF8&node=12653393011&field-lbr_brands_browse-bin=Amazon+Renewed,https://www.amazon.com//Apple-iPhone-XS-Max-Unlocked/dp/B07K8RNW7H/ref=sr_1_163?keywords=used+phones&qid=1646080945&sr=8-163
"Samsung Galaxy S7, Black 32GB (Verizon Wireless)",,Galaxy S7,Verizon,Samsung Electronics,Smartphone,32 GB,Android,Black,LTE,,,Samsung Galaxy S7;Pre-Installed SIM Card;Wall Charger;USB Cable,Samsung Electronics Store,https://www.amazon.com/stores/SamsungElectronics/page/5DE4E0B0-7C27-45B4-9406-2291193DCBEF?ref_=ast_bln,https://www.amazon.com//Samsung-Galaxy-Black-Verizon-Wireless/dp/B01CJ3SCN2/ref=sr_1_164?keywords=used+phones&qid=1646080945&sr=8-164
5.75-inch IPS Screen，X33 Unlocked Cell Phone，2GB RAM 16GB ROM，Front and Rear Cameras，Smartphone，Only Supports SIM Card Frequency Band of 3GWCDMA ：850/2100MHZ（Gold）,$59.99,X13,Unlocked for All Carriers,Aderroo,Smartphone,16 GB,Android,Gold,3G,Dual SIM,2021.0,,rroo,https://www.amazon.com/s/ref=bl_dp_s_web_0?ie=UTF8&search-alias=aps&field-keywords=aderroo,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg10_1?ie=UTF8&adId=A01270452VX4BVW56LYD8&url=%2F5-75-inch-Screen%25EF%25BC%258CX33-Phone%25EF%25BC%258C2GB-Cameras%25EF%25BC%258CSmartphone%25EF%25BC%258COnly-2100MHZ%25EF%25BC%2588Gold%25EF%25BC%2589%2Fdp%2FB09LYK554Z%2Fref%3Dsr_1_165_sspa%3Fkeywords%3Dused%2Bphones%26qid%3D1646080945%26sr%3D8-165-spons%26psc%3D1&qualifier=1646080945&id=587621268431940&widgetName=sp_btf
"2GB RAM 16GB ROM，M409-X11 aderroo Android Smartphone, 5.75-inch IPS Full-Screen，Front and Rear Cameras，Only Supports Dual SIM Card Frequency Band of 3GWCDMA：850/2100MHZ，Unlocked Cell Phone（Black）",$59.99,M409,Unlocked for All Carriers,Aderroo,Smartphone,16 GB,Android,Black,3G,Dual SIM,2021.0,,rroo,https://www.amazon.com/s/ref=bl_dp_s_web_0?ie=UTF8&search-alias=aps&field-keywords=aderroo,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg10_1?ie=UTF8&adId=A10316783TCQZ242ZD7AF&url=%2FROM%25EF%25BC%258CM409-X11-aderroo-Full-Screen%25EF%25BC%258CFront-Cameras%25EF%25BC%258COnly-2100MHZ%25EF%25BC%258CUnlocked%2Fdp%2FB09JYNL59Q%2Fref%3Dsr_1_166_sspa%3Fkeywords%3Dused%2Bphones%26qid%3D1646080945%26sr%3D8-166-spons%26psc%3D1&qualifier=1646080945&id=587621268431940&widgetName=sp_btf
"Unlocked Cell Phone，Y77 aderroo Android Smartphone, 5.75-inch IPS Full-Screen，Front and Rear Cameras，2GB RAM 16GB ROM，Only Supports Dual SIM Card Frequency Band of 3GWCDMA ：850/2100MHZ（Black）",$59.99,Y77,Unlocked for All Carriers,Aderroo,Smartphone,16 GB,Android,Black,3G,Dual SIM,2021.0,,rroo,https://www.amazon.com/s/ref=bl_dp_s_web_0?ie=UTF8&search-alias=aps&field-keywords=aderroo,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg11_1?ie=UTF8&adId=A06294681W7ZBFWSWBS7X&url=%2Faderroo-Smartphone-Full-Screen%25EF%25BC%258CFront-Cameras%25EF%25BC%258C2GB-2100MHZ%25EF%25BC%2588Black%25EF%25BC%2589%2Fdp%2FB09KGNDZHW%2Fref%3Dsr_1_161_sspa%3Fkeywords%3Dused%2Bphones%26qid%3D1646080948%26sr%3D8-161-spons%26psc%3D1&qualifier=1646080948&id=2999807669992747&widgetName=sp_atf_next
"Movo Wireless Smartphone Video Kit V2 with Grip Rig, Wireless Lavalier Microphone, LED Light and Wireless Remote - YouTube Equipment for iPhone 5, 5C, 5S, 6, 6S, 7, 8, X, XS, XS Max, Samsung Galaxy",$129.95,,,Movo,,,,,,,,,Movo Store,https://www.amazon.com/stores/Movo/page/165B1AD8-73E1-4A23-9AE2-96E9A4445D98?ref_=ast_bln,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg11_1?ie=UTF8&adId=A07748387DT8WE7P9PL6&url=%2FMovo-Smartphone-Wireless-Lavalier-Microphone%2Fdp%2FB07886159N%2Fref%3Dsr_1_162_sspa%3Fkeywords%3Dused%2Bphones%26qid%3D1646080948%26sr%3D8-162-spons%26psc%3D1%26smid%3DAJJXN514E694T&qualifier=1646080948&id=2999807669992747&widgetName=sp_atf_next
"Nokia 7.2 - Android 9.0 Pie - 128 GB - 48MP Triple Camera - Unlocked Smartphone (AT&T/T-Mobile/MetroPCS/Cricket/Mint) - 6.3"" FHD+ HDR Screen - Green - U.S. Warranty, Model:TA-1178",,Nokia 7.2,Unlocked,Nokia,Smartphone,4 GB,Android,Green,4G,Single SIM,2019.0,,Nokia Store,https://www.amazon.com/stores/Nokia/page/BBD88D40-BF44-4A32-90F8-5A0E8C5658A1?ref_=ast_bln,https://www.amazon.com//Nokia-7-2-Unlocked-Smartphone-T-Mobile/dp/B07XW28MW4/ref=sr_1_163?keywords=used+phones&qid=1646080948&sr=8-163
"Smartphone,5.45 inch HD Full Screen face Recognition and Fingerprint Unlock Smartphone,2MP + 5MP,Dual Card Dual Standby,Green",$75.49,Rino4 Pro,Unlocked for All Carriers,FOLOSAFENAR,Smartphone,128 GB,Android 6.0,Green,3G,,,"Earphone, Screen Protector, Phone Case",FOLOSAFENAR Store,https://www.amazon.com/stores/DAUERHAFT/page/F8CC952B-E00D-477B-8649-7BA58A68F48F?ref_=ast_bln,https://www.amazon.com//Smartphone-Screen-Recognition-Fingerprint-Standby/dp/B08ZS8TG2L/ref=sr_1_164?keywords=used+phones&qid=1646080948&sr=8-164
"Mini Cell Phone Pen Style Bluetooth Dialer 0.96"" Tiny Screen Mobile Phone Support GSM Dual SIM Card with Camera Voice Recorder (Black)",,,"Simple Mobile, Ting",SERVO,Smartphone,32 GB,,Black,2G,Dual SIM,2018.0,,VO,https://www.amazon.com/s/ref=bl_dp_s_web_0?ie=UTF8&search-alias=aps&field-keywords=SERVO,https://www.amazon.com//Bluetooth-Dialer-Support-Flashlight-Recorder/dp/B07WWSX9D9/ref=sr_1_165?keywords=used+phones&qid=1646080948&sr=8-165
5.75-inch IPS Screen，X33 Unlocked Cell Phone，2GB RAM 16GB ROM，Front and Rear Cameras，Smartphone，Only Supports SIM Card Frequency Band of 3GWCDMA ：850/2100MHZ（Blue）,$59.99,X13,Unlocked for All Carriers,Aderroo,Smartphone,16 GB,Android,Blue,3G,Dual SIM,2021.0,,rroo,https://www.amazon.com/s/ref=bl_dp_s_web_0?ie=UTF8&search-alias=aps&field-keywords=aderroo,https://www.amazon.com//5-75-inch-Screen%EF%BC%8CX33-Phone%EF%BC%8C2GB-Cameras%EF%BC%8CSmartphone%EF%BC%8COnly-2100MHZ%EF%BC%88Blue%EF%BC%89/dp/B09LYKQRB8/ref=sr_1_166?keywords=used+phones&qid=1646080948&sr=8-166
"Samsung Galaxy Note 20 Ultra SM-N986B/DS, Dual SIM 5G, International Version (No US Warranty), 12GB+256GB, Mystic Black - Unlocked","$1,124.99",Galaxy Note,Unlocked,Samsung Electronics,Foldable Case,256 GB,Android 10.0,Black,"5G, 4G, 3G, 2G",Dual SIM,2020.0,,Samsung Electronics Store,https://www.amazon.com/stores/SamsungElectronics/page/5DE4E0B0-7C27-45B4-9406-2291193DCBEF?ref_=ast_bln,https://www.amazon.com//Samsung-Galaxy-SM-N986B-DS-Hybrid/dp/B08FCQ2R5T/ref=sr_1_167?keywords=used+phones&qid=1646080948&sr=8-167
"Unlocked Smartphone,IP12 PRO+ Android Smartphone 6.26in Large Screen Unlocked Cellphone Face Recognition Unlocked Android Smartphone Dual Card Dual Standby(Gold)",$108.99,IP12 PRO+,Unlocked for All Carriers,WESE,Smartphone,8 GB,Android 8.1,Gold,3G,,,Earphone,WESE Store,https://www.amazon.com/stores/DAUERHAFT/page/F8CC952B-E00D-477B-8649-7BA58A68F48F?ref_=ast_bln,https://www.amazon.com//Unlocked-Smartphone-Android-Cellphone-Recognition/dp/B09LCG3X1L/ref=sr_1_168?keywords=used+phones&qid=1646080948&sr=8-168
"Unlocked Cell Phone，SS21U，Android Smartphone, 6.11-inch HD+U Nouth Screen, 3GWCDMA : 850/2100MHZ SIM Card Frequency Band, 1GB RAM 16GB ROM, Dual SIM Card，Front and Rear Cameras（Black）",$74.44,,Unlocked for All Carriers,Aderroo,Smartphone,16 GB,,Black,,Dual SIM,,,rroo,https://www.amazon.com/s/ref=bl_dp_s_web_0?ie=UTF8&search-alias=aps&field-keywords=aderroo,https://www.amazon.com//Unlocked-Phone%EF%BC%8CSS21U%EF%BC%8CAndroid-Smartphone-6-11-inch-3GWCDMA/dp/B09GMKN6BX/ref=sr_1_169?keywords=used+phones&qid=1646080948&sr=8-169
"Apple iPhone 12 Pro Max, 128GB, Pacific Blue - Unlocked (Renewed Premium)",$979.00,IPhone 12 Pro Max,Unlocked,Apple,Smartphone,128 GB,IOS 12,Pacific Blue,LTE,,,"SIM Tray Ejector, USB Cable",Amazon Renewed Store,https://www.amazon.com/Amazon-Renewed/b/ref=bl_dp_s_web_12653393011?ie=UTF8&node=12653393011&field-lbr_brands_browse-bin=Amazon+Renewed,https://www.amazon.com//Apple-iPhone-12-Pro-Max/dp/B09JF9WMR9/ref=sr_1_170?keywords=used+phones&qid=1646080948&sr=8-170
"2GB RAM 16GB ROM，M407-X10 Android Smartphone, 5.75-inch IPS Full-Screen，Front and Rear Cameras，Only Supports Dual SIM Card Frequency Band of 3GWCDMA ：850/2100MHZ，Unlocked Cell Phone （Black）",$59.99,M407,Unlocked for All Carriers,Aderroo,Smartphone,16 GB,Android,Black,3G,Dual SIM,2021.0,,rroo,https://www.amazon.com/s/ref=bl_dp_s_web_0?ie=UTF8&search-alias=aps&field-keywords=aderroo,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg11_1?ie=UTF8&adId=A07423181IDVG3A3QOSL1&url=%2FROM%25EF%25BC%258CM407-X10-Smartphone-Full-Screen%25EF%25BC%258CFront-Cameras%25EF%25BC%258COnly-2100MHZ%25EF%25BC%258CUnlocked%2Fdp%2FB09JK817KX%2Fref%3Dsr_1_171_sspa%3Fkeywords%3Dused%2Bphones%26qid%3D1646080948%26sr%3D8-171-spons%26psc%3D1&qualifier=1646080948&id=2999807669992747&widgetName=sp_mtf
"6.52-inch IPS Full-Screen, S21+ aderroo Dual SIM Card，Supports The SIM Card Frequency Band of 3GWCDMA : 850/900/1900/2100MHZ，Unlocked Cell Phone，1G RAM 16G ROM（Blue）",$77.77,S21+,Unlocked for All Carriers,Aderroo,Smartphone,16 GB,Android,Blue,4G,Dual SIM,2021.0,,rroo,https://www.amazon.com/s/ref=bl_dp_s_web_0?ie=UTF8&search-alias=aps&field-keywords=aderroo,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg11_1?ie=UTF8&adId=A039960036MDDZK3IUNWU&url=%2F6-52-inch-Full-Screen-S21-aderroo-Card%25EF%25BC%258CSupports%2Fdp%2FB09J8F162F%2Fref%3Dsr_1_172_sspa%3Fkeywords%3Dused%2Bphones%26qid%3D1646080948%26sr%3D8-172-spons%26psc%3D1&qualifier=1646080948&id=2999807669992747&widgetName=sp_mtf
"BLU Studio Mega 2019-6.0"" Display Smartphone, 32GB+2GB Ram- Black",,Studio Mega 2019,Unlocked,BLU,Smartphone,64 GB,Android,Black,4G,,2019.0,"Device,Charger and Quick Guide",BLU Store,https://www.amazon.com/stores/BLUProducts/page/AA9E1BFD-E94A-4247-B28B-5A42DB54AFFD?ref_=ast_bln,https://www.amazon.com//BLU-Studio-2019-6-0-Display-Smartphone/dp/B07SR5JMVR/ref=sr_1_173?keywords=used+phones&qid=1646080948&sr=8-173
"(Renewed) Samsung Galaxy S21 5G, US Version, 128GB, Phantom Gray - Unlocked",$529.99,S21,Unlocked,Samsung Electronics,Smartphone,128 GB,Android,Phantom Gray,5G,Single SIM,2021.0,,Amazon Renewed Store,https://www.amazon.com/Amazon-Renewed/b/ref=bl_dp_s_web_12653393011?ie=UTF8&node=12653393011&field-lbr_brands_browse-bin=Amazon+Renewed,https://www.amazon.com//Samsung-Galaxy-S21-5G-Version/dp/B08VLMQ3KS/ref=sr_1_174?keywords=used+phones&qid=1646080948&sr=8-174
"Samsung Galaxy S7 Edge unlocked smartphone, 32 GB Silver (US Warranty - Model SM-G935UZSAXAA)",,Galaxy S7 edge,Unlocked,Samsung Electronics,Smartphone,32 GB,Android™,Silver,2G,,,"USB cable, Handset, Battery, Manual, Travel adapter, SIM ejector, Battery cover, QRM, Health and safety guide",Samsung Electronics Store,https://www.amazon.com/stores/SamsungElectronics/page/5DE4E0B0-7C27-45B4-9406-2291193DCBEF?ref_=ast_bln,https://www.amazon.com//Samsung-Galaxy-unlocked-smartphone-Warranty/dp/B01HFD0XJM/ref=sr_1_175?keywords=used+phones&qid=1646080948&sr=8-175
"Xperia 1 III - 5G Smartphone with 120Hz 6.5"" 21:9 4K HDR OLED display with triple camera and four focal lengths- XQBC62/B","$1,298.00",XQBC62/B,Unlocked,Sony,Bar,256 GB,Android 10.0,Black,5G,,2021.0,"Mobile Phone, Charger Block, USB C-C cable, Printed Leaflets",Sony Store,https://www.amazon.com/stores/Sony/page/AEA5D08A-7FC6-45D4-B121-C8A6FA25219F?ref_=ast_bln,https://www.amazon.com//Xperia-III-Smartphone-display-lengths/dp/B091YC2SJZ/ref=sr_1_176?keywords=used+phones&qid=1646080948&sr=8-176
"ZTE Blade A3 Lite 5.0"" 18:9 Display, 8MP Camera Quad-Core Android 9.0 Go (LTE USA Latin Caribbean) 4G LTE GSM Unlocked Smartphone - International Version (Black, 32GB)",$64.97,,,ZTE,Smartphone,32 GB,Android 9.0,Black,"4G, 3G, 2G",Dual SIM,2019.0,,,https://www.amazon.com/ZTE/b/ref=bl_dp_s_web_10304471011?ie=UTF8&node=10304471011&field-lbr_brands_browse-bin=ZTE,https://www.amazon.com//ZTE-Blade-Lite-5-0-International/dp/B07WLLLTNZ/ref=sr_1_177?keywords=used+phones&qid=1646080948&sr=8-177
"Samsung Galaxy Note 20 Ultra 5G, 128GB, Mystic Black - Fully Unlocked (Renewed Premium)",$850.00,Note20 Ultra,Unlocked for All Carriers,Samsung Electronics,Slider,128 GB,Android,Mystic Black,5G,,,"Handset, Data Cable, Ejection Pin, USB Connector",Amazon Renewed Store,https://www.amazon.com/Amazon-Renewed/b/ref=bl_dp_s_web_12653393011?ie=UTF8&node=12653393011&field-lbr_brands_browse-bin=Amazon+Renewed,https://www.amazon.com//Samsung-Galaxy-Ultra-128GB-Mystic/dp/B09DLCT14X/ref=sr_1_178?keywords=used+phones&qid=1646080948&sr=8-178
"OUKITEL WP5 Rugged Cell Phone Unlocked, Android 10 Smartphone 8000mAh Battery IP68 Waterproof Rugged Smartphone, 5.5"" HD+ 4GB 32GB Face ID Fingerprint Triple Camera Global Version 4G LTE GSM (Orange)",,,BASE,OUKITEL,Smartphone,32 GB,Android 10.0,Orange,"4G, 2G",Dual SIM,2020.0,,ITEL,https://www.amazon.com/OUKITEL/b/ref=bl_dp_s_web_18105886011?ie=UTF8&node=18105886011&field-lbr_brands_browse-bin=OUKITEL,https://www.amazon.com//OUKITEL-WP5-Smartphone-Waterproof-Fingerprint/dp/B082XPD4L6/ref=sr_1_179?keywords=used+phones&qid=1646080948&sr=8-179
"Samsung Galaxy Note 10, 256GB, Aura Glow - Fully Unlocked (Renewed)",$350.84,Galaxy Note 10,Unlocked,Samsung Electronics,Smartphone,256 GB,Android,Aura Glow,4G,Single SIM,,"Adapter, USB Cable",Amazon Renewed Store,https://www.amazon.com/Amazon-Renewed/b/ref=bl_dp_s_web_12653393011?ie=UTF8&node=12653393011&field-lbr_brands_browse-bin=Amazon+Renewed,https://www.amazon.com//Samsung-Factory-Unlocked-Warranty-Renewed/dp/B07Z43ZPTT/ref=sr_1_180?keywords=used+phones&qid=1646080948&sr=8-180
"2GB RAM 16GB ROM, M10 aderroo，Android Smartphone, 5.5-inch IPS Full-Screen, Only SIM Cards Supports 3GWCDMA：850 / 2100MHZ，Dual SIM Card，Unlocked Cell Phone（Blue）",$56.66,M10,Unlocked for All Carriers,Aderroo,Smartphone,16 GB,Android,Blue,WCDMA,Dual SIM,2021.0,,rroo,https://www.amazon.com/s/ref=bl_dp_s_web_0?ie=UTF8&search-alias=aps&field-keywords=aderroo,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg11_1?ie=UTF8&adId=A06796523M1XKZUSR9PH4&url=%2FM10-aderroo%25EF%25BC%258CAndroid-Full-Screen-2100MHZ%25EF%25BC%258CDual-Card%25EF%25BC%258CUnlocked%2Fdp%2FB09N3NBGXN%2Fref%3Dsr_1_181_sspa%3Fkeywords%3Dused%2Bphones%26qid%3D1646080948%26sr%3D8-181-spons%26psc%3D1&qualifier=1646080948&id=2999807669992747&widgetName=sp_btf
"2GB RAM 16GB ROM，M409-X11 aderroo Android Smartphone, 5.75-inch IPS Full-Screen，Front and Rear Cameras，Only Supports Dual SIM Card Frequency Band of 3GWCDMA：850/2100MHZ，Unlocked Cell Phone（Blue）",$59.99,M409,Unlocked for All Carriers,Aderroo,Smartphone,16 GB,Android,Blue,3G,Dual SIM,2021.0,,rroo,https://www.amazon.com/s/ref=bl_dp_s_web_0?ie=UTF8&search-alias=aps&field-keywords=aderroo,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg11_1?ie=UTF8&adId=A10314901WJV3E9NVWENR&url=%2FROM%25EF%25BC%258CM409-X11-aderroo-Full-Screen%25EF%25BC%258CFront-Cameras%25EF%25BC%258COnly-2100MHZ%25EF%25BC%258CUnlocked%2Fdp%2FB09JYGKBCW%2Fref%3Dsr_1_182_sspa%3Fkeywords%3Dused%2Bphones%26qid%3D1646080948%26sr%3D8-182-spons%26psc%3D1&qualifier=1646080948&id=2999807669992747&widgetName=sp_btf
"Ulefone Armor X7 Android 10 Rugged Smartphones, 13MP + 5MP Waterproof Cameras, IP68 Smartphone, NFC, OTG, 4G Dual Sim, 5.0 Inch Screen, 2G RAM 16GB ROM, 4000mAh Battery, GPS, Bluetooth, WiFi - Orange",$119.99,Ulefone,T-Mobile,Ulefone,Smartphone,16 GB,Android 10.0,Orange,4G,Dual SIM,2020.0,,Ulefone Store,https://www.amazon.com/stores/UlefonePhone/page/61DDA142-C23C-4CF9-8ADA-4BBB6B775310?ref_=ast_bln,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg12_1?ie=UTF8&adId=A01488583Q4CAUMRJY3N0&url=%2FUlefone-Android-Waterproof-Smartphone-Bluetooth%2Fdp%2FB085VMCFH5%2Fref%3Dsr_1_177_sspa%3Fkeywords%3Dused%2Bphones%26qid%3D1646080950%26sr%3D8-177-spons%26psc%3D1&qualifier=1646080950&id=681929361838021&widgetName=sp_atf_next
BISOFICE Mini Desktop Corded Landline Phone Fixed Telephone Wall Mountable Supports Mute/Pause/Hold/Reset/Flash/Redial Functions for Home Hotel Office Bank Call Center,$14.99,,,BISOFICE,,,,Off-white,,,,,OFICE,https://www.amazon.com/s/ref=bl_dp_s_web_0?ie=UTF8&search-alias=aps&field-keywords=BISOFICE,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg12_1?ie=UTF8&adId=A09374802KQ1D4OAIC2U9&url=%2FBISOFICE-Landline-Telephone-Mountable-Functions%2Fdp%2FB09CQDBRPR%2Fref%3Dsr_1_178_sspa%3Fkeywords%3Dused%2Bphones%26qid%3D1646080950%26sr%3D8-178-spons%26psc%3D1&qualifier=1646080950&id=681929361838021&widgetName=sp_atf_next
"Unlocked Cell Phones 3G, IP12 PRO+ Unlocked Smartphone Smart Phone, 6.26"" Waterdrop Screen, Dual SIM, 1GB RAM + 8GB ROM, 2MP + 5MP, Quad-Core Android 5.1, Fingerprint Lock & Face ID, GPS, WiFi(Green)",$108.99,,Unlocked,Sorandy,Smartphone,8 GB,Android 5.1,Green,3G,Dual SIM,,Earphone,andy,https://www.amazon.com/s/ref=bl_dp_s_web_0?ie=UTF8&search-alias=aps&field-keywords=Sorandy,https://www.amazon.com//Unlocked-Smartphone-Waterdrop-Quad-Core-Fingerprint/dp/B08XBZTNLL/ref=sr_1_179?keywords=used+phones&qid=1646080950&sr=8-179
Unlocked Google Pixel 4 - 64GB - Just Black - GA01187-US (Renewed),$249.99,Pixel 4,Unlocked for All Carriers,Google,Smartphone,64 GB,Android,Black,4G,,2019.0,"USB-C to C cable, SIM tool, AC Adapter, OTG Dongle, Quick Start Guide",Amazon Renewed Store,https://www.amazon.com/Amazon-Renewed/b/ref=bl_dp_s_web_12653393011?ie=UTF8&node=12653393011&field-lbr_brands_browse-bin=Amazon+Renewed,https://www.amazon.com//Unlocked-Google-Pixel-GA01187-US-Renewed/dp/B082YF9MMW/ref=sr_1_180?keywords=used+phones&qid=1646080950&sr=8-180
"Apple iPhone X, 64GB, Silver - For T-Mobile (Renewed)",$317.00,IPhone X,T-Mobile,Apple,Smartphone,64 GB,IOS,Silver,4G,Single SIM,2018.0,,Amazon Renewed Store,https://www.amazon.com/Amazon-Renewed/b/ref=bl_dp_s_web_12653393011?ie=UTF8&node=12653393011&field-lbr_brands_browse-bin=Amazon+Renewed,https://www.amazon.com//Apple-iPhone-64GB-Silver-T-Mobile/dp/B07RV48RR1/ref=sr_1_181?keywords=used+phones&qid=1646080950&sr=8-181
Alcatel OneTouch Ideal 4G LTE AT&T GSM Unlocked 4060A Android 5MP 8GB Smartphone - Black,$63.99,Ideal,AT&T,Alcatel,Smartphone,8 GB,Android,Black,"4G, 3G, 2G",,,,atel,https://www.amazon.com/Alcatel/b/ref=bl_dp_s_web_5222623011?ie=UTF8&node=5222623011&field-lbr_brands_browse-bin=Alcatel,https://www.amazon.com//Alcatel-OneTouch-Unlocked-Android-Smartphone/dp/B01M24QYPN/ref=sr_1_182?keywords=used+phones&qid=1646080950&sr=8-182
"Samsung Galaxy Note 10+, 256GB, Aura Black - Fully Unlocked (Renewed)",$439.00,Galaxy Note 10+,Unlocked,Samsung Electronics,Smartphone,256 GB,Android,Aura Black,LTE,Single SIM,,"Adapter, USB Cable",Amazon Renewed Store,https://www.amazon.com/Amazon-Renewed/b/ref=bl_dp_s_web_12653393011?ie=UTF8&node=12653393011&field-lbr_brands_browse-bin=Amazon+Renewed,https://www.amazon.com//Samsung-Galaxy-Note-256GB-Black/dp/B0845ZVJW3/ref=sr_1_183?keywords=used+phones&qid=1646080950&sr=8-183
